Project name,Data source,Core capacities,PHEICs (response funding),Funder,Funder type,"Funder including specific sub-organization, if any",Recipient,Recipient type,"Recipient including specific sub-organization, if any",Support type,Transaction year range,Amount committed,Amount disbursed,Response-specific transaction year range,Response-specific amount committed,Response-specific amount disbursed,Transaction currency
Jordan Emergency Cash Transfer COVID-19 Response Project,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Jordan,Government,Jordan,Direct financial support,2020 - 2021,"640,000,000.00","43,255,000.00",2020 - 2021,"640,000,000.00","43,255,000.00",USD
Bangladesh: COVID-19 Emergency Response and Pandemic Preparedness Project,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Bangladesh,Government,Bangladesh,Direct financial support,2020 - 2021,"600,000,000.00","40,890,820.00",2020 - 2021,"600,000,000.00","40,890,820.00",USD
Philippines COVID-19 Emergency Response Project,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Philippines,Government,Philippines,Direct financial support,2020 - 2021,"600,000,000.00","219,241,462.00",2020 - 2021,"600,000,000.00","219,241,462.00",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Kazakhstan,Government,Kazakhstan,Direct financial support,2020 - 2021,"538,797,632.75","557,332,643.05",2020 - 2021,"538,797,632.75","557,332,643.05",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Kazakhstan,Government,Kazakhstan,Direct financial support,2020 - 2021,"538,797,632.75","557,332,643.05",2020 - 2021,"538,797,632.75","557,332,643.05",USD
Japan funds COVID-19 Response (recipient unspecified),EIU Tracker 03-Aug-2021,Unspecified,2019-2021 COVID-19 Pandemic,Japan,Government,Japan,Not reported,Other,Not reported,Direct financial support,2020,"533,735,719.00",,2020,"533,735,719.00",0.00,USD
BANQUE MISR COVID 19 LOAN FOR SMES AND MIDCAPS,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Egypt,Government,Egypt,Direct financial support,2020,"517,036,567.12",,2020,"517,036,567.12",0.00,USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Philippines,Government,Philippines,Direct financial support,2020 - 2021,"503,196,142.69","513,527,108.87",2020 - 2021,"503,196,142.69","513,527,108.87",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Indonesia,Government,Indonesia,Direct financial support,2020 - 2021,"502,638,493.78","499,722,028.81",2020 - 2021,"502,638,493.78","499,722,028.81",USD
COVID-19: Disaster Resilience Improvement Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Philippines,Government,Philippines,Direct financial support,2020 - 2021,"500,000,000.00","500,000,000.00",2020 - 2021,"500,000,000.00","500,000,000.00",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Pakistan,Government,Pakistan,Direct financial support,2020 - 2021,"500,000,000.00","500,000,000.00",2020 - 2021,"500,000,000.00","500,000,000.00",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,India,Government,India,Direct financial support,2020 - 2021,"500,000,000.00","500,000,000.00",2020 - 2021,"500,000,000.00","500,000,000.00",USD
COVID-19: Disaster Resilience Improvement Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Indonesia,Government,Indonesia,Direct financial support,2020 - 2021,"500,000,000.00","280,000,000.00",2020 - 2021,"500,000,000.00","280,000,000.00",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Thailand,Government,Thailand,Direct financial support,2020 - 2021,"500,000,000.00","500,000,000.00",2020 - 2021,"500,000,000.00","500,000,000.00",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Philippines,Government,Philippines,Direct financial support,2020 - 2021,"500,000,000.00","500,000,000.00",2020 - 2021,"500,000,000.00","500,000,000.00",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Uzbekistan,Government,Uzbekistan,Direct financial support,2020 - 2021,"500,000,000.00","500,000,000.00",2020 - 2021,"500,000,000.00","500,000,000.00",USD
Philippines Emergency COVID-19 Response Development Policy Loan,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Philippines,Government,Philippines,Direct financial support,2020,"500,000,000.00","500,000,000.00",2020,"500,000,000.00","500,000,000.00",USD
"Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Inter-American Development Bank,Organization,Inter-American Development Bank,Argentina,Government,Argentina,Direct financial support,2020,"470,000,000.00","203,400,000.00",2020,"470,000,000.00","203,400,000.00",USD
Support for Vulnerable Populations Affected by Coronavirus,IATI Registry,,2019-2021 COVID-19 Pandemic,Inter-American Development Bank,Organization,Inter-American Development Bank,Bolivia,Government,Bolivia,Direct financial support,2020,"450,000,000.00","433,033,415.00",2020,"450,000,000.00","433,033,415.00",USD
Germany funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Germany,Government,Germany,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,"425,206,539.00","425,206,539.00",2020,"425,206,539.00","425,206,539.00",USD
COVID-19: Competitive and Inclusive Agriculture Development Program (Subprogram 1),IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Philippines,Government,Philippines,Direct financial support,2020 - 2021,"400,000,000.00","400,000,000.00",2020 - 2021,"400,000,000.00","400,000,000.00",USD
UY - COVID-19 Response & Economic Recovery,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Uruguay,Government,Uruguay,Direct financial support,2020 - 2021,"400,000,000.00","120,000,000.00",2020 - 2021,"400,000,000.00","120,000,000.00",USD
COVID-19: Second Health System Enhancement to Address and Limit COVID-19 under the Asia Pacific Vaccine Access Facility,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Philippines,Government,Philippines,Direct financial support,2021,"400,000,000.00","55,838,090.00",2021,"400,000,000.00","55,838,090.00",USD
Morocco COVID-19 Social Protection Emergency Response Project,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Morocco,Government,Morocco,Direct financial support,2020 - 2021,"400,000,000.00","168,377,891.00",2020 - 2021,"400,000,000.00","168,377,891.00",USD
BANQUE MISR COVID 19 LOAN FOR SMES AND MIDCAPS B,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Egypt,Government,Egypt,Direct financial support,2021,"388,531,285.22",,2021,"388,531,285.22",0.00,USD
European Commission funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,European Union,Government,European Union (European Commission),Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"366,000,000.00","366,000,000.00",2021,"366,000,000.00","366,000,000.00",USD
Italy funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Italy,Government,Italy,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"366,000,000.00",,2021,"366,000,000.00",0.00,USD
European Investment Bank funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,Unspecified,2019-2021 COVID-19 Pandemic,European Union,Government,European Union (European Investment Bank),Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"363,537,000.00",,2021,"363,537,000.00",0.00,USD
Ethiopia - COVID-19 Crisis Response Budget Support Program (ECRBS),IATI Registry,,2019-2021 COVID-19 Pandemic,African Development Bank,Organization,African Development Bank,Ethiopia,Government,Ethiopia,Direct financial support,2020,"345,664,431.85","172,832,215.93",2020,"345,664,431.85","172,832,215.93",USD
Morocco - COVID-19 Response Support Programme (PARC-19),IATI Registry,,2019-2021 COVID-19 Pandemic,African Development Bank,Organization,African Development Bank,Morocco,Government,Morocco,Direct financial support,2020,"310,200,100.37","310,780,709.81",2020,"310,200,100.37","310,780,709.81",USD
South Africa - COVID-19 Response Support Programme (SACRSP),IATI Registry,,2019-2021 COVID-19 Pandemic,African Development Bank,Organization,African Development Bank,South Africa,Government,South Africa,Direct financial support,2020,"306,308,286.38","309,573,807.93",2020,"306,308,286.38","309,573,807.93",USD
COVID-19: Emergency Assistance for Fighting the COVID-19 Pandemic,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Pakistan,Government,Pakistan,Direct financial support,2020 - 2021,"300,000,000.00","198,176,348.11",2020 - 2021,"300,000,000.00","198,176,348.11",USD
Tunisia COVID-19 Social Protection Emergency Response Support Project,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Tunisia,Government,Tunisia,Direct financial support,2021,"300,000,000.00","737,608.00",2021,"300,000,000.00","737,608.00",USD
Uganda COVID-19 Economic Crisis and Recovery Development Policy Financing,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Uganda,Government,Uganda,Direct financial support,2020,"300,000,000.00","304,108,911.00",2020,"300,000,000.00","304,108,911.00",USD
Turkey Rapid Support for Micro and Small Enterprises during the COVID-19 crisis,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Turkey,Government,Turkey,Direct financial support,2020 - 2021,"300,000,000.00","15,771,575.00",2020 - 2021,"300,000,000.00","15,771,575.00",USD
United Kingdom funds CEPI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,United Kingdom,Government,United Kingdom,Coalition for Epidemic Preparedness Innovations (CEPI),Organization,Coalition for Epidemic Preparedness Innovations (CEPI),Direct financial support,2020 - 2021,"296,720,000.00","296,720,000.00",2020 - 2021,"296,720,000.00","296,720,000.00",USD
Sri Lanka COVID-19 Emergency Response and Health Systems Preparedness Project,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Sri Lanka,Government,Sri Lanka,Direct financial support,2020 - 2021,"296,363,646.00","179,979,340.00",2020 - 2021,"296,363,646.00","179,979,340.00",USD
Ethiopia COVID-19 Emergency Response,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Ethiopia,Government,Ethiopia,Direct financial support,2020 - 2021,"289,600,000.00","95,868,606.00",2020 - 2021,"289,600,000.00","95,868,606.00",USD
Nigeria - COVID-19 Crisis Response Budget Support Programme,IATI Registry,,2019-2021 COVID-19 Pandemic,African Development Bank,Organization,African Development Bank,Nigeria,Government,Nigeria,Direct financial support,2020,"288,720,201.54","288,151,574.85",2020,"288,720,201.54","288,151,574.85",USD
Ghana COVID-19 Emergency Preparedness and Response Project,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Ghana,Government,Ghana,Direct financial support,2020 - 2021,"281,050,000.00","82,234,357.59",2020 - 2021,"281,050,000.00","82,234,357.59",USD
COVID-19 VACCINE VOLUME ALLOCATION (COVAX) B,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Africa; Low and middle-income countries (LMIC),Other,Africa; Low and middle-income countries (LMIC),Direct financial support,2020,"279,808,024.56",,2020,"279,808,024.56",0.00,USD
Sweden funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"272,030,000.00",,2021,"272,030,000.00",0.00,USD
European Commission funds Multiple recipients for COVID-19 Response,EIU Tracker 03-Aug-2021,Unspecified,2019-2021 COVID-19 Pandemic,European Union,Government,European Union (European Commission),Not reported,Other,Not reported,Direct financial support,2020,"271,890,000.00",,2020,"271,890,000.00",0.00,USD
Multiple donors funds PAHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Not reported,Other,Not reported,Pan American Health Organization (PAHO),Organization,Pan American Health Organization (PAHO),Direct financial support,2020 - 2021,"263,121,526.00","263,121,526.00",2020 - 2021,"263,121,526.00","263,121,526.00",USD
Germany funds CEPI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Germany,Government,Germany,Coalition for Epidemic Preparedness Innovations (CEPI),Organization,Coalition for Epidemic Preparedness Innovations (CEPI),Direct financial support,2020 - 2021,"259,525,000.00","259,525,000.00",2020 - 2021,"259,525,000.00","259,525,000.00",USD
COVID-19 Crisis Emergency Social Safety Nets Project,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Bolivia,Government,Bolivia,Direct financial support,2020,"254,300,000.00","251,200,000.00",2020,"254,300,000.00","251,200,000.00",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Philippines,Government,Philippines,Direct financial support,2020 - 2021,"251,598,614.45","250,857,465.28",2020 - 2021,"251,598,614.45","250,857,465.28",USD
COVID-19: Rapid Response Program,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Papua New Guinea,Government,Papua New Guinea,Direct financial support,2020 - 2021,"250,000,000.00","250,000,000.00",2020 - 2021,"250,000,000.00","250,000,000.00",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Philippines,Government,Philippines,Direct financial support,2020 - 2021,"250,000,000.00","250,000,000.00",2020 - 2021,"250,000,000.00","250,000,000.00",USD
Program to Strengthen Public Policy and Fiscal Management in Response to the Health and Economic Crisis Caused by COVID-19 in the Dominican Republic,IATI Registry,,2019-2021 COVID-19 Pandemic,Inter-American Development Bank,Organization,Inter-American Development Bank,Dominican Republic,Government,Dominican Republic,Direct financial support,2020,"250,000,000.00","250,000,000.00",2020,"250,000,000.00","250,000,000.00",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Myanmar,Government,Myanmar,Direct financial support,2020 - 2021,"250,000,000.00","250,000,000.00",2020 - 2021,"250,000,000.00","250,000,000.00",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Nepal,Government,Nepal,Direct financial support,2020 - 2021,"250,000,000.00","250,000,000.00",2020 - 2021,"250,000,000.00","250,000,000.00",USD
Support to the provision of health and social protection services in the context of the pandemic of the coronavirus COVID-19,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Inter-American Development Bank,Organization,Inter-American Development Bank,Ecuador,Government,Ecuador,Direct financial support,2020 - 2021,"250,000,000.00","176,586,104.00",2020 - 2021,"250,000,000.00","176,586,104.00",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Bangladesh,Government,Bangladesh,Direct financial support,2020 - 2021,"250,000,000.00","250,000,000.00",2020 - 2021,"250,000,000.00","250,000,000.00",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Cambodia,Government,Cambodia,Direct financial support,2020 - 2021,"250,000,000.00","250,000,000.00",2020 - 2021,"250,000,000.00","250,000,000.00",USD
COVID-19: Active Response and Expenditure Support Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Bangladesh,Government,Bangladesh,Direct financial support,2020 - 2021,"250,000,000.00","250,000,000.00",2020 - 2021,"250,000,000.00","250,000,000.00",USD
Program to Strengthen Public Policy and Fiscal Management in Response to the Health and Economic Crises caused by COVID-19 in El Salvador,IATI Registry,,2019-2021 COVID-19 Pandemic,Inter-American Development Bank,Organization,Inter-American Development Bank,El Salvador,Government,El Salvador,Direct financial support,2020,"250,000,000.00","250,000,000.00",2020,"250,000,000.00","250,000,000.00",USD
DRC COVID-19 Strategic Preparedness and Response Project (SPRP),IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Democratic Republic of the Congo,Government,Democratic Republic of the Congo,Direct financial support,2020 - 2021,"247,200,000.00","25,766,914.00",2020 - 2021,"247,200,000.00","25,766,914.00",USD
LEBANON EMERGENCY CRISIS AND COVID-19 RESPONSE SOCIAL SAFETY NET PROJECT,IATI Registry,,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Lebanon,Government,Lebanon,Direct financial support,2021,"246,000,000.00",0.00,2021,"246,000,000.00",0.00,USD
France funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,France,Government,France,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2020 - 2021,"244,000,000.00",,2020 - 2021,"244,000,000.00",0.00,USD
MAROC COVID-19 PUBLIC HEALTHCARE LOAN,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Morocco,Government,Morocco,Direct financial support,2020 - 2021,"243,311,325.70","119,548,087.76",2020 - 2021,"243,311,325.70","119,548,087.76",USD
BRAZIL GENDER COVID-19 RESPONSE,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Brazil,Government,Brazil,Direct financial support,2020,"243,311,325.70",,2020,"243,311,325.70",0.00,USD
Appui aux Populations et à la Préservation de l'Emploi et du Lien social (APPELs) en réponse à la crise du Covid 19,IATI Registry,,2019-2021 COVID-19 Pandemic,France,Government,France,Brazil,Government,Brazil,Direct financial support,2021,"243,311,325.70","239,096,175.52",2021,"243,311,325.70","239,096,175.52",USD
European Investment Bank funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,Unspecified,2019-2021 COVID-19 Pandemic,European Union,Government,European Union (European Investment Bank),Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"242,763,157.00",,2021,"242,763,157.00",0.00,USD
PrPP Santé - Protection Sociale - Réponse COVID19,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,France,Government,France,Dominican Republic,Government,Dominican Republic,Direct financial support,2021,"242,387,280.67",,2021,"242,387,280.67",0.00,USD
COVID-19 SERBIAN GOVERNMENT SUPPORT SMES+MIDCAPS,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Serbia,Government,Serbia,Direct financial support,2021,"239,096,175.52",,2021,"239,096,175.52",0.00,USD
KENYA COVID-19 HEALTH EMERGENCY RESPONSE PROJECT,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Kenya,Government,Kenya,Direct financial support,2020 - 2021,"230,000,000.00","27,787,507.00",2020 - 2021,"230,000,000.00","27,787,507.00",USD
IFFIm frontloading for CEPI og Covid-19,IATI Registry,,2019-2021 COVID-19 Pandemic,Norway,Government,Norway (Norad - Norwegian Agency for Development Cooperation),Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,"229,448,186.77",,2020,"229,448,186.77",0.00,USD
France funds COVID-19 Response (recipient unspecified),EIU Tracker 03-Aug-2021,Unspecified,2019-2021 COVID-19 Pandemic,France,Government,France,Not reported,Other,Not reported,Direct financial support,2020,"229,250,305.00",,2020,"229,250,305.00",0.00,USD
Kenya - COVID-19 Emergency Response Support Program (ERSP),IATI Registry,,2019-2021 COVID-19 Pandemic,African Development Bank,Organization,African Development Bank,Kenya,Government,Kenya,Direct financial support,2020,"227,555,421.52","220,161,863.95",2020,"227,555,421.52","220,161,863.95",USD
Mauritius – COVID-19 Crisis Response Budget Support Programme,IATI Registry,,2019-2021 COVID-19 Pandemic,African Development Bank,Organization,African Development Bank,Mauritius,Government,Mauritius,Direct financial support,2020,"226,874,745.80","220,801,657.36",2020,"226,874,745.80","220,801,657.36",USD
COVID-19: IKRK Darlehen,IATI Registry,,2019-2021 COVID-19 Pandemic,Switzerland,Government,Switzerland,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,"225,063,590.79",0.00,2020,"225,063,590.79",0.00,USD
